2022-08-01,0.0
2022-08-02,14.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,11.0
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,6.0
2022-08-21,0.0
2022-08-22,11.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,2.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,5.0
2022-09-09,6.0
2022-09-10,9.0
2022-09-11,28.0
2022-09-12,0.0
2022-09-13,0.0
2022-09-14,3.0
2022-09-15,3.0
2022-09-16,0.0
2022-09-17,3.0
2022-09-18,3.0
2022-09-19,4.0
2022-09-20,5.0
2022-09-21,1.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,11.0
2022-09-26,20.0
2022-09-27,4.0
2022-09-28,0.0
2022-09-29,15.0
2022-09-30,16.0
2022-10-01,9.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,0.0
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,2.0
2022-10-20,0.0
2022-10-21,0.0
2022-10-22,0.0
2022-10-23,0.0
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,9.0
2022-11-05,21.0
2022-11-06,2.0
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,3.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,3.0
2022-11-23,0.0
2022-11-24,14.0
2022-11-25,0.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,2.0
2022-11-29,0.0
2022-11-30,2.0
2022-12-01,2.0
2022-12-02,0.0
2022-12-03,2.0
2022-12-04,0.0
2022-12-05,0.0
2022-12-06,12.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,26.0
2022-12-10,27.0
2022-12-11,7.0
2022-12-12,0.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,6.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,16.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,2.0
2022-12-23,0.0
2022-12-24,7.0
2022-12-25,0.0
2022-12-26,3.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,3.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,2.0
2023-01-08,0.0
2023-01-09,16.0
2023-01-10,0.0
2023-01-11,2.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,2.0
2023-01-15,0.0
2023-01-16,8.0
2023-01-17,40.0
2023-01-18,0.0
2023-01-19,20.0
2023-01-20,0.0
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.0
2023-02-04,0.0
2023-02-05,0.0
2023-02-06,0.0
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,3.0
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,4.0
2023-02-25,0.0
2023-02-26,0.0
2023-02-27,0.0
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,2.0
2023-03-07,0.0
2023-03-08,2.0
2023-03-09,0.0
